gene_name	gene_discription	foldchange_T24/T0	foldchange_T48/T0
TcIL3000.A.H_000929600.1	ATP-dependent DEAD/H RNA helicase, putative	0.545455	0.818182
TcIL3000.A.H_000994600.1	phospholipase A1	0.545455	0.781818
TcIL3000.A.H_000995300.1	Ribonuclease H2 non-catalytic subunit (Ylr154p-like), putative	0.545455	0.772727
TcIL3000.A.H_000430800.1	hypothetical protein, conserved	0.545455	0.727273
TcIL3000.A.H_000610500.1	hypothetical protein, conserved	0.545455	0.681818
TcIL3000.A.H_000006000.1	expression site-associated gene 2 (ESAG2) protein, putative	0.545455	0.606061
TcIL3000.A.H_000109300.1	retrotransposon hot spot (RHS) protein, putative	0.545455	0.545455
TcIL3000.A.H_000225000.1	Protein of unknown function (DUF3808), putative	0.545455	0.545455
TcIL3000.A.H_000378600.1	hypothetical protein, conserved	0.545455	0.5
TcIL3000.A.H_000353700.1	snoRNP protein GAR1, putative	0.545455	0.424242
TcIL3000.A.H_000307800.1	hypothetical protein, conserved	0.545455	0.363636
TcIL3000.A.H_000555300.1	hypothetical protein	0.545455	0.363636
TcIL3000.A.H_000633500.1	hypothetical protein, conserved	0.545455	0.272727
TcIL3000.A.H_000617900.1	hypothetical protein, conserved	0.545455	0.181818
TcIL3000.A.H_000911000.1	hypothetical protein, conserved	0.545455	0.181818
TcIL3000.A.H_000704700.1	kinetoplastid membrane protein KMP-11	0.545098	0.811765
TcIL3000.A.H_000634100.1	calreticulin, putative	0.54485	0.910299
TcIL3000.A.H_000488200.1	Trypanosomal VSG domain containing protein, putative	0.544747	1.02075
TcIL3000.A.H_000513700.1	40S ribosomal protein S15, putative	0.544186	0.739535
TcIL3000.A.H_000532600.1	cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative	0.543689	1.01456
TcIL3000.A.H_000120300.1	Invariant surface glycoprotein, putative	0.543478	1.04348
TcIL3000.A.H_000802600.1	branch point binding protein, putative	0.543478	0.847826
TcIL3000.A.H_000952100.1	ATP synthase, putative	0.543478	0.695652
TcIL3000.A.H_000519300.1	I/6 autoantigen	0.54321	1.08642
TcIL3000.A.H_000581100.1	hypothetical protein, conserved	0.542857	0.964286
TcIL3000.A.H_000033000.1	Trypanosomal VSG domain containing protein, putative	0.542797	0.997912
TcIL3000.A.H_000912600.1	myo-inositol/proton symporter (MIT)	0.542373	0.949153
TcIL3000.A.H_000821800.1	hypothetical protein, conserved	0.541667	1.75
TcIL3000.A.H_000850800.1	chaperone protein DNAj, putative	0.541667	1.5
TcIL3000.A.H_000708700.1	DNA polymerase epsilon subunit b, putative	0.541667	1.33333
TcIL3000.A.H_000751300.1	hypothetical protein, conserved	0.541667	1.25
TcIL3000.A.H_000297300.1	cysteine peptidase, Clan CA, family C51, putative	0.541667	1.20833
TcIL3000.A.H_000522900.1	hypothetical protein, conserved	0.541667	1
TcIL3000.A.H_000212700.1	Core histone H2A/H2B/H3/H4, putative	0.541667	0.958333
TcIL3000.A.H_000698400.1	dolichol kinase, putative	0.541667	0.833333
TcIL3000.A.H_000915900.1	dynein light chain, putative	0.541667	0.791667
TcIL3000.A.H_001014100.1	ATP-dependent zinc metallopeptidase, putative	0.540541	1.18919
TcIL3000.A.H_000292600.1	ribosomal RNA methyltransferase, putative	0.540541	1.05405
TcIL3000.A.H_000524400.1	mitochondrial DNA polymerase I protein C	0.540541	0.864865
TcIL3000.A.H_000813900.1	metallo-peptidase, Clan MC, Family M14, putative	0.540541	0.851351
TcIL3000.A.H_000748700.1	hypothetical protein, conserved	0.540541	0.837838
TcIL3000.A.H_000616500.1	hypothetical protein, conserved	0.540541	0.810811
TcIL3000.A.H_000814500.1	RGG-containing protein 2	0.540541	0.810811
TcIL3000.A.H_000774200.1	protein tyrosine phosphatase, putative	0.540541	0.675676
TcIL3000.A.H_000967600.1	PQQ-like domain/WD domain, G-beta repeat/Utp21 specific WD40 associated putative domain containing protein, putative	0.540541	0.567568
TcIL3000.A.H_000409700.1	RNA pseudouridylate synthase, putative	0.54	0.84
TcIL3000.A.H_000367600.1	hypothetical protein, conserved	0.54	0.78
TcIL3000.A.H_000151600.1	alpha tubulin	0.539823	0.765487
TcIL3000.A.H_000332300.1	helicase, putative	0.539474	0.710526
TcIL3000.A.H_000041400.1	Ribosomal protein L44, putative	0.53937	0.807087
TcIL3000.A.H_000643600.1	hypothetical protein, conserved	0.538462	2.07692
TcIL3000.A.H_000842400.1	hypothetical protein, conserved	0.538462	1.57692
TcIL3000.A.H_000972400.1	Calponin homology (CH) domain containing protein, putative	0.538462	1.53846
TcIL3000.A.H_000549600.1	hypothetical protein, conserved	0.538462	1.46154
TcIL3000.A.H_000916700.1	hypothetical protein, conserved	0.538462	1.46154
TcIL3000.A.H_000536400.1	deoxyuridine triphosphatase, putative	0.538462	1.42308
TcIL3000.A.H_001011500.1	proteasome regulatory non-ATP-ase subunit	0.538462	1.42308
TcIL3000.A.H_000302700.1	Rab-GTPase-TBC domain containing protein, putative	0.538462	1.30769
TcIL3000.A.H_000638700.1	hypothetical protein, conserved	0.538462	1.30769
TcIL3000.A.H_000822300.1	CW-type Zinc Finger, putative	0.538462	1.23077
TcIL3000.A.H_000799500.1	hypothetical protein, conserved	0.538462	1.19231
TcIL3000.A.H_000397700.1	hypothetical protein, conserved	0.538462	1.11538
TcIL3000.A.H_000423200.1	protein kinase, putative	0.538462	1.10256
TcIL3000.A.H_000604500.1	ARP2/3 complex subunit, putative	0.538462	1.07692
TcIL3000.A.H_000307100.1	PRP19-like protein, putative	0.538462	1
TcIL3000.A.H_000442700.1	hypothetical protein, conserved	0.538462	1
TcIL3000.A.H_000695600.1	hypothetical protein, conserved	0.538462	1
TcIL3000.A.H_000791200.1	SET domain containing protein, putative	0.538462	0.980769
TcIL3000.A.H_000930100.1	hypothetical protein, conserved	0.538462	0.961538
TcIL3000.A.H_000580300.1	hypothetical protein, conserved	0.538462	0.923077
TcIL3000.A.H_000760600.1	C2 domain containing protein, putative	0.538462	0.923077
TcIL3000.A.H_000809400.1	hypothetical protein, conserved	0.538462	0.884615
TcIL3000.A.H_000575600.1	hypothetical protein, conserved	0.538462	0.846154
TcIL3000.A.H_000668800.1	hypothetical protein, conserved	0.538462	0.820513
TcIL3000.A.H_000451700.1	hypothetical protein, conserved	0.538462	0.784615
TcIL3000.A.H_000766800.1	hypothetical protein, conserved	0.538462	0.769231
TcIL3000.A.H_000883300.1	hypothetical protein, conserved	0.538462	0.769231
TcIL3000.A.H_000891800.1	LisH domain-containing protein FOPNL, putative	0.538462	0.769231
TcIL3000.A.H_000061200.1	hypothetical protein, conserved	0.538462	0.692308
TcIL3000.A.H_000665000.1	hypothetical protein, conserved	0.538462	0.615385
TcIL3000.A.H_000394900.1	hypothetical protein, conserved	0.538462	0.576923
TcIL3000.A.H_000968500.1	Glutathione S-transferase, C-terminal domain containing protein, putative	0.537037	0.462963
TcIL3000.A.H_000321000.1	hypothetical protein, conserved	0.536585	1.34146
TcIL3000.A.H_000736700.1	PrimPol-like protein 2	0.536585	1.04878
TcIL3000.A.H_000529600.1	hypothetical protein, conserved	0.536585	1.02439
TcIL3000.A.H_000028200.1	procyclin-associated gene 2-like protein, putative	0.535714	1.64286
TcIL3000.A.H_000775300.1	Bardet-Biedl syndrome 4 protein, putative	0.535714	1.53571
TcIL3000.A.H_000535700.1	Condensin complex subunit 2, putative	0.535714	1.42857
TcIL3000.A.H_000348700.1	protein farnesyltransferase alpha subunit, putative	0.535714	1.33929
TcIL3000.A.H_000423800.1	hypothetical protein, conserved	0.535714	1.25
TcIL3000.A.H_000996800.1	hypothetical protein, conserved	0.535714	1.07143
TcIL3000.A.H_000547600.1	Enriched in surface-labeled proteome protein 17	0.535714	1.03571
TcIL3000.A.H_000881100.1	hypothetical protein, conserved	0.535714	1
TcIL3000.A.H_001016600.1	hypothetical protein, conserved	0.535714	1
TcIL3000.A.H_000754600.1	dolicholphosphate-mannose synthase, putative	0.535714	0.928571
TcIL3000.A.H_000123700.1	retrotransposon hot spot (RHS) protein, putative	0.535714	0.785714
TcIL3000.A.H_000566400.1	hypothetical protein, conserved	0.535714	0.714286
TcIL3000.A.H_000446400.1	SET domain containing protein, putative	0.535714	0.571429
TcIL3000.A.H_000236900.1	Tubulin C-terminal domain containing protein, putative	0.535714	0.535714
TcIL3000.A.H_000070400.1	Trypanosome variant surface glycoprotein (A-type), putative	0.535211	1.23944
TcIL3000.A.H_000753300.1	DNA damage repair protein, putative	0.534884	0.837209
TcIL3000.A.H_000744300.1	60S acidic ribosomal protein P2, putative	0.534759	0.84492
TcIL3000.A.H_000761400.1	40S ribosomal protein S18, putative	0.534392	0.878307
TcIL3000.A.H_000020400.1	dihydrolipoamide acetyltransferase E2 subunit, putative	0.534125	0.77003
TcIL3000.A.H_000944400.1	hypothetical protein, conserved	0.533333	1.8
TcIL3000.A.H_000302600.1	FtsJ cell division protein, putative	0.533333	1.6
TcIL3000.A.H_000595800.1	Gryzun, putative trafficking through Golgi, putative	0.533333	1.6
TcIL3000.A.H_000991600.1	hypothetical protein, conserved	0.533333	1.43333
TcIL3000.A.H_000728500.1	hypothetical protein, conserved	0.533333	1.33333
TcIL3000.A.H_000729000.1	hypothetical protein, conserved	0.533333	1.33333
TcIL3000.A.H_000020700.1	VRR-NUC domain containing protein, putative	0.533333	1.3
TcIL3000.A.H_000944700.1	hypothetical protein, conserved	0.533333	1.1
TcIL3000.A.H_000919800.1	Nodulin-like, putative	0.533333	1.03333
TcIL3000.A.H_000320700.1	leucine-rich repeat protein (LRRP), putative	0.533333	0.966667
TcIL3000.A.H_000827300.1	hypothetical protein, conserved	0.533333	0.933333
TcIL3000.A.H_000296300.1	hypothetical protein, conserved	0.533333	0.866667
TcIL3000.A.H_000028100.1	Trypanosome variant surface glycoprotein (A-type), putative	0.533333	0.844444
TcIL3000.A.H_000621900.1	hypothetical protein, conserved	0.533333	0.833333
TcIL3000.A.H_000727700.1	hypothetical protein, conserved	0.533333	0.8
TcIL3000.A.H_000827200.1	ribulose-5-phosphate 3-epimerase, putative	0.533333	0.8
TcIL3000.A.H_000966900.1	hypothetical protein, conserved	0.533333	0.755556
TcIL3000.A.H_000673100.1	Lsm12 protein, putative	0.533333	0.746667
TcIL3000.A.H_000609300.1	hypothetical protein, conserved	0.533333	0.733333
TcIL3000.A.H_000642400.1	protein phosphatase 2B, putative	0.533333	0.733333
TcIL3000.A.H_000751800.1	ADP-ribosylation factor-like 2, arl2	0.533333	0.7
TcIL3000.A.H_000101200.1	hypothetical protein, conserved	0.533333	0.688889
TcIL3000.A.H_000116800.1	retrotransposon hot spot (RHS) protein, putative	0.533333	0.666667
TcIL3000.A.H_000160300.1	Trypanosomal VSG domain containing protein, putative	0.533333	0.666667
TcIL3000.A.H_000899100.1	serine peptidase, clan SB, family S8-like protein	0.533333	0.666667
TcIL3000.A.H_000950000.1	Domain of unknown function (DUF3342), putative	0.533333	0.666667
TcIL3000.A.H_000030500.1	Trypanosomal VSG domain containing protein, putative	0.533333	0.657143
TcIL3000.A.H_000895800.1	hypothetical protein, conserved	0.533333	0.566667
TcIL3000.A.H_000249100.1	hypothetical protein, conserved	0.533333	0.533333
TcIL3000.A.H_000986200.1	ankyrin repeat protein, putative	0.533333	0.533333
TcIL3000.A.H_000957900.1	Protein of unknown function (DUF2870), putative	0.533333	0.5
TcIL3000.A.H_000545900.1	BTB/POZ domain/Regulator of chromosome condensation (RCC1) repeat, putative	0.533333	0.4
TcIL3000.A.H_000487900.1	Trypanosomal VSG domain containing protein, putative	0.532584	0.973034
TcIL3000.A.H_000885200.1	Trypanosome variant surface glycoprotein (A-type), putative	0.532258	1.04839
TcIL3000.A.H_000150900.1	Misato Segment II tubulin-like domain/Tubulin/FtsZ family, GTPase domain containing protein, putative	0.531915	0.882979
TcIL3000.A.H_000797600.1	Myosin-like coiled-coil protein, putative	0.53125	1.28125
TcIL3000.A.H_000783400.1	hypothetical protein, conserved	0.53125	1.0625
TcIL3000.A.H_000318000.1	cytochrome oxidase subunit VII	0.53125	0.9375
TcIL3000.A.H_000294800.1	hypothetical protein, conserved	0.53125	0.84375
TcIL3000.A.H_000848600.1	intraflagellar transport protein 140	0.53125	0.828125
TcIL3000.A.H_000692500.1	hypothetical protein, conserved	0.53125	0.5625
TcIL3000.A.H_000570800.1	60S ribosomal protein L7a, putative	0.530957	0.868668
TcIL3000.A.H_000680000.1	adenosine monophosphate deaminase, putative	0.530612	0.979592
TcIL3000.A.H_000790900.1	ATP synthase delta (OSCP) subunit, putative	0.530612	0.877551
TcIL3000.A.H_000690000.1	Cullin family, putative	0.530612	0.428571
TcIL3000.A.H_000785600.1	hypothetical protein, conserved	0.53012	0.662651
TcIL3000.A.H_000518800.1	centrin-4	0.529412	1.64706
TcIL3000.A.H_000314800.1	exonuclease, putative	0.529412	1.58824
TcIL3000.A.H_000414400.1	META domain/Domain of unknown function (DUF1935), putative	0.529412	1.52941
TcIL3000.A.H_000148200.1	retrotransposon hot spot (RHS) protein, putative	0.529412	1.23529
TcIL3000.A.H_000559000.1	hypothetical protein, conserved	0.529412	1.20588
TcIL3000.A.H_000283700.1	WD40 repeat-containing protein	0.529412	1.17647
TcIL3000.A.H_000812200.1	histone H2B, putative	0.529412	1.15686
TcIL3000.A.H_000131200.1	retrotransposon hot spot (RHS) protein, putative	0.529412	0.941176
TcIL3000.A.H_000509900.1	hypothetical protein, conserved	0.529412	0.941176
TcIL3000.A.H_000552600.1	mitochondrial glycoprotein-like protein	0.529412	0.911765
TcIL3000.A.H_000364500.1	hypothetical protein, conserved	0.529412	0.852941
TcIL3000.A.H_000592900.1	hypothetical protein, conserved	0.529412	0.823529
TcIL3000.A.H_000547300.1	O-sialoglycoprotein endopeptidase, putative	0.529412	0.764706
TcIL3000.A.H_000751400.1	hypothetical protein, conserved	0.529412	0.470588
TcIL3000.A.H_000316700.1	cullin 4B, putative	0.528302	1.16981
TcIL3000.A.H_000203500.1	nucleolar RNA-binding protein, putative	0.52809	0.696629
TcIL3000.A.H_000476500.1	GTPase activating protein, putative	0.527778	1.19444
TcIL3000.A.H_000221100.1	translation elongation factor 1-beta, putative	0.527778	1.125
TcIL3000.A.H_000814600.1	Plexin repeat, putative	0.527778	1.11111
TcIL3000.A.H_000941300.1	hypothetical protein, conserved	0.527778	1.11111
TcIL3000.A.H_000724200.1	hypothetical protein, conserved	0.527778	1.02778
TcIL3000.A.H_000747200.1	proteasome activator protein pa26, putative	0.527778	0.875
TcIL3000.A.H_000221700.1	hypothetical protein, conserved	0.527559	0.80315
TcIL3000.A.H_000372100.1	asparaginyl-tRNA synthetase, putative	0.527473	1.16484
TcIL3000.A.H_000560900.1	Tubulin C-terminal domain containing protein, putative	0.526718	0.442748
TcIL3000.A.H_000821100.1	nicotinate phosphoribosyltransferase, putative	0.526316	1.63158
TcIL3000.A.H_000834200.1	protein kinase A catalytic subunit	0.526316	1.36842
TcIL3000.A.H_000484800.1	serine/arginine-rich protein specific kinase SRPK, putative	0.526316	1.26316
TcIL3000.A.H_000603500.1	Ribosome biogenesis protein Nop16, putative	0.526316	1.21053
TcIL3000.A.H_000414100.1	META domain/Domain of unknown function (DUF1935), putative	0.526316	1.15789
TcIL3000.A.H_000477900.1	hypothetical protein, conserved	0.526316	1.10526
TcIL3000.A.H_000694000.1	mitochondrial carrier protein	0.526316	1.05263
TcIL3000.A.H_000894400.1	ras-like small GTPase, putative	0.526316	1.02632
TcIL3000.A.H_000343800.1	Papain family cysteine protease, putative	0.526316	1
TcIL3000.A.H_000453200.1	hypothetical protein, conserved	0.526316	1
TcIL3000.A.H_000390600.1	metallo-peptidase, Clan MA(E) Family M41	0.526316	0.921053
TcIL3000.A.H_000104100.1	Invariant surface glycoprotein, putative	0.526316	0.894737
TcIL3000.A.H_000109800.1	retrotransposon hot spot (RHS) protein, putative	0.526316	0.894737
TcIL3000.A.H_000226100.1	Rgp1, putative	0.526316	0.894737
TcIL3000.A.H_001018700.1	Domain of unknown function (DUF4200), putative	0.526316	0.868421
TcIL3000.A.H_001002000.1	hypothetical protein, conserved	0.526316	0.842105
TcIL3000.A.H_000779500.1	hypothetical protein	0.526316	0.789474
TcIL3000.A.H_000156700.1	Coatomer beta C-terminal region/Coatomer beta subunit appendage platform, putative	0.526316	0.736842
TcIL3000.A.H_000593000.1	hypothetical protein, conserved	0.526316	0.736842
TcIL3000.A.H_000177500.1	retrotransposon hot spot (RHS) protein, putative	0.526316	0.631579
TcIL3000.A.H_000700500.1	ankyrin repeat protein, putative	0.526316	0.631579
TcIL3000.A.H_000312100.1	hypothetical protein, conserved	0.526316	0.578947
TcIL3000.A.H_000883200.1	diacylglycerol acyltransferase, putative	0.526316	0.421053
TcIL3000.A.H_000300800.1	NUP-1 protein, putative	0.525773	0.71134
TcIL3000.A.H_000125900:rRNA	unspecified product	0.525641	0.782051
TcIL3000.A.H_000509100.1	histone H2A, putative	0.525424	0.881356
TcIL3000.A.H_000869100.1	60S ribosomal protein L21e, putative	0.525346	1.04147
TcIL3000.A.H_000813400.1	splicing factor Prp31	0.525	1.075
TcIL3000.A.H_000136200.1	Invariant surface glycoprotein, putative	0.525	0.9125
TcIL3000.A.H_000720100.1	Tetratricopeptide repeat, putative	0.524272	1.12621
TcIL3000.A.H_000275900.1	leucine-rich repeat-containing protein	0.52381	1.40476
TcIL3000.A.H_000582200.1	multidrug resistance protein A	0.52381	1.30952
TcIL3000.A.H_000828800.1	chaperone protein DNAj, putative	0.52381	1.30952
TcIL3000.A.H_000385000.1	Uncharacterized conserved protein (DUF2039), putative	0.52381	0.952381
TcIL3000.A.H_000679400.1	phytanoyl-CoA dioxygenase (PhyH), putative	0.52381	0.952381
TcIL3000.A.H_001032100.1	exosome-associated protein 2	0.52381	0.880952
TcIL3000.A.H_000343400.1	asparagine synthase, putative	0.52381	0.714286
TcIL3000.A.H_000388900.1	glycosomal transporter (GAT1)	0.52381	0.714286
TcIL3000.A.H_000796800.1	OTU-like cysteine protease, putative	0.52381	0.571429
TcIL3000.A.H_000451300.1	hypothetical protein, conserved	0.52381	0.285714
TcIL3000.A.H_000008100.1	Invariant surface glycoprotein, putative	0.523077	0.738462
TcIL3000.A.H_000683900.1	Polyamine transporter 1, putative	0.521739	1.30435
TcIL3000.A.H_000414700.1	ATP-dependent RNA helicase, putative	0.521739	0.869565
TcIL3000.A.H_000933100.1	hypothetical protein, conserved	0.521739	0.73913
TcIL3000.A.H_000642000.1	protein kinase, putative	0.521739	0.347826
TcIL3000.A.H_000880000.1	hypothetical protein	0.521472	0.607362
TcIL3000.A.H_000674900.1	Polyadenylate-binding protein 1 (Poly(A)-binding protein 1) (PABP 1)	0.521277	0.957447
TcIL3000.A.H_000881600.1	60S acidic ribosomal protein P0, putative	0.521127	0.84507
TcIL3000.A.H_000583900.1	hypothetical protein, conserved	0.520833	0.9375
TcIL3000.A.H_000618600.1	eukaryotic translation initiation factor 1A, putative	0.520548	1
TcIL3000.A.H_000181400.1	hypothetical protein, conserved	0.52	1.2
TcIL3000.A.H_000745300.1	tRNA pseudouridine synthase D (TruD), putative	0.52	0.96
TcIL3000.A.H_000917000.1	DNA-directed RNA polymerase, mitochondrial	0.52	0.54
TcIL3000.A.H_000487000.1	Trypanosomal VSG domain containing protein, putative	0.519337	1.24309
TcIL3000.A.H_000092300.1	procyclin-associated gene 2-like protein, putative	0.519231	0.836538
TcIL3000.A.H_000735000.1	casein kinase I, putative	0.518519	1.2963
TcIL3000.A.H_000647300.1	hypothetical protein, conserved	0.518519	1
TcIL3000.A.H_000876400.1	phosphatidylinositol (3,5) kinase, putative	0.518519	1
TcIL3000.A.H_000626100.1	Male sterility protein, putative	0.518519	0.962963
TcIL3000.A.H_000447900.1	Protein of unknown function (DUF3586), putative	0.518519	0.87037
TcIL3000.A.H_000593300.1	Rapamycin-insensitive companion of mTOR, N-term/Rapamycin-insensitive companion of mTOR, middle domain/Rapamycin-insensitive companion of mTOR RasGEF_N domain containing protein, putative	0.518519	0.87037
TcIL3000.A.H_000832800.1	hypothetical protein, conserved	0.518519	0.740741
TcIL3000.A.H_000658000.1	Meckel syndrome type 6 protein, putative	0.517857	0.946429
TcIL3000.A.H_000902100.1	Metallopeptidase family M24, putative	0.517857	0.767857
TcIL3000.A.H_000415500.1	hydrolase, alpha/beta fold family, putative	0.517241	1.41379
TcIL3000.A.H_000698300.1	Leucine carboxyl methyltransferase/Cupin-like domain containing protein, putative	0.517241	1.03448
TcIL3000.A.H_000590900.1	hypothetical protein, conserved	0.517241	1
TcIL3000.A.H_000498100.1	hypothetical protein, conserved	0.517241	0.931034
TcIL3000.A.H_000404600.1	short-chain dehydrogenase, putative	0.517241	0.87931
TcIL3000.A.H_000991300.1	Uncharacterised protein family (UPF0160), putative	0.517241	0.770115
TcIL3000.A.H_000731300.1	Elongation factor Tu domain 2/Elongation factor Tu C-terminal domain containing protein, putative	0.517241	0.758621
TcIL3000.A.H_000281700.1	transmembrane protein, conserved	0.517241	0.741379
TcIL3000.A.H_000581700.1	Alpha/beta hydrolase family, putative	0.517241	0.655172
TcIL3000.A.H_000800600.1	hypothetical protein, conserved	0.517241	0.586207
TcIL3000.A.H_000403100.1	60S ribosomal protein L8, putative	0.516949	1
TcIL3000.A.H_000440300.1	cysteine peptidase C (CPC)	0.516949	0.881356
TcIL3000.A.H_000811800.1	histone H2B, putative	0.516667	0.816667
TcIL3000.A.H_000314100.1	RNA-binding protein	0.516129	0.806452
TcIL3000.A.H_000474100.1	RNA-binding protein, putative	0.516129	0.741935
TcIL3000.A.H_000091600.1	cysteine peptidase, Clan CA, family C1, Cathepsin L-like	0.515789	0.694737
TcIL3000.A.H_001027900.1	ATP binding protein-like protein	0.515152	1.57576
TcIL3000.A.H_000213100.1	histone H4, putative	0.515152	1.0303
TcIL3000.A.H_000601400.1	class I transcription factor A, subunit 5a	0.515152	0.969697
TcIL3000.A.H_000701800.1	Ring finger domain containing protein, putative	0.515152	0.939394
TcIL3000.A.H_000480600.1	hypothetical protein, conserved	0.515152	0.878788
TcIL3000.A.H_000866600.1	hypothetical protein, conserved	0.515152	0.818182
TcIL3000.A.H_000526400.1	hypothetical protein, conserved	0.515152	0.636364
TcIL3000.A.H_001022000.1	Nucleoporin	0.514286	1.6
TcIL3000.A.H_000770300.1	hypothetical protein, conserved	0.514286	1.2
TcIL3000.A.H_000817800.1	procyclic form surface phosphoprotein	0.514286	1.05714
TcIL3000.A.H_001034300.1	Rab-like 5, small G protein	0.514286	1.02857
TcIL3000.A.H_000803400.1	predicted WD40 repeat protein	0.514286	0.971429
TcIL3000.A.H_000818400.1	hypothetical protein, conserved	0.514286	0.8
TcIL3000.A.H_000800200.1	pre-mRNA splicing factor ATP-dependent RNA helicase, putative	0.514286	0.685714
TcIL3000.A.H_000945400.1	CEP76 C2 domain containing protein, putative	0.514286	0.685714
TcIL3000.A.H_000850400.1	syntaxin, putative	0.514286	0.542857
TcIL3000.A.H_000561700.1	Tubulin C-terminal domain containing protein, putative	0.514019	0.841121
TcIL3000.A.H_000954100.1	S-adenosylhomocysteine hydrolase, putative	0.513889	0.986111
TcIL3000.A.H_000514600.1	Nucleoporin	0.513514	1.2973
TcIL3000.A.H_001034200.1	dynein light intermediate chain D1bLIC, putative	0.513514	0.945946
TcIL3000.A.H_000012100.1	protein phosphatase 1, regulatory subunit, putative	0.513514	0.783784
TcIL3000.A.H_000945300.1	Uncharacterised protein family (UPF0220), putative	0.513514	0.756757
TcIL3000.A.H_000503000.1	hypothetical protein, conserved	0.513514	0.540541
TcIL3000.A.H_000776800.1	Trypanosomal VSG domain containing protein, putative	0.513043	0.823188
TcIL3000.A.H_000189200.1	Elongation factor Tu domain 2/Elongation factor Tu C-terminal domain containing protein, putative	0.512821	1.46154
TcIL3000.A.H_000912200.1	Kinesin-13 3, putative	0.512821	1.15385
TcIL3000.A.H_000940000.1	Sas10/Utp3/C1D family/Sas10 C-terminal domain containing protein, putative	0.512821	1.05128
TcIL3000.A.H_000174400.1	retrotransposon hot spot (RHS) protein, putative	0.512821	0.948718
TcIL3000.A.H_000754700.1	peptidyl-prolyl cis-trans isomerase, putative	0.512821	0.923077
TcIL3000.A.H_000910400.1	cysteine peptidase, Clan CA, family C12, putative	0.512821	0.871795
TcIL3000.A.H_000747400.1	SET domain containing protein, putative	0.512821	0.846154
TcIL3000.A.H_000398500.1	hypothetical protein, conserved	0.512195	0.829268
TcIL3000.A.H_000906500.1	prostaglandin f synthase	0.511905	0.72619
TcIL3000.A.H_000403000.1	peroxisome targeting signal 1 receptor	0.511628	1.06977
TcIL3000.A.H_000416200.1	WW domain containing protein, putative	0.511628	0.790698
TcIL3000.A.H_000811400.1	histone H2B, putative	0.511628	0.372093
TcIL3000.A.H_000417400.1	translation initiation factor, putative	0.511364	1.09091
TcIL3000.A.H_000847500.1	Hsp70 protein, putative	0.511111	0.911111
TcIL3000.A.H_000966700.1	Leucine Rich repeat, putative	0.511111	0.888889
TcIL3000.A.H_000446300.1	hypothetical protein, conserved	0.511111	0.555556
TcIL3000.A.H_000711700.1	expression site-associated gene 2 (ESAG2) protein, putative	0.51087	1.70652
TcIL3000.A.H_000444400.1	cysteine peptidase C (CPC)	0.509934	0.748344
TcIL3000.A.H_000788900.1	hypothetical protein, conserved	0.509804	1.05882
TcIL3000.A.H_000908100.1	predicted ankyrin repeat family protein	0.509804	0.843137
TcIL3000.A.H_000792600.1	Ribosomal protein L1p/L10e family, putative	0.509804	0.745098
TcIL3000.A.H_000656800.1	GTPase activating protein, putative	0.509434	0.849057
TcIL3000.A.H_000523700.1	hypothetical protein, conserved	0.509091	0.927273
TcIL3000.A.H_000712700.1	ATP synthase F1 subunit gamma protein, putative	0.508772	1.01754
TcIL3000.A.H_000346600.1	Paraflagellar rod protein 2-5	0.508621	0.948276
TcIL3000.A.H_000411600.1	hypothetical protein, conserved	0.508475	1.25424
TcIL3000.A.H_000713000.1	GPI transamidase component GAA1	0.508475	0.779661
TcIL3000.A.H_000954300.1	eukaryotic translation initiation factor 3 subunit 2, putative	0.508333	0.775
TcIL3000.A.H_000854400.1	nucleosome assembly protein, putative	0.508197	1.06557
TcIL3000.A.H_000930600.1	seryl-tRNA synthetase	0.507463	1.1194
TcIL3000.A.H_000532800.1	proteasome beta 6 subunit	0.506849	0.876712
TcIL3000.A.H_000942100.1	carbonic anhydrase-like protein	0.506024	1.18072
TcIL3000.A.H_000351400.1	Trypanosomal VSG domain containing protein, putative	0.505814	1.03198
TcIL3000.A.H_000951600.1	Trypanosomal VSG domain containing protein, putative	0.505102	0.77551
TcIL3000.A.H_000439700.1	hypothetical protein, conserved	0.5	6
TcIL3000.A.H_000835900.1	hypothetical protein	0.5	5.5
TcIL3000.A.H_000166700.1	hypothetical protein	0.5	4
TcIL3000.A.H_000774800.1	BRCA1 C Terminus (BRCT) domain containing protein, putative	0.5	4
TcIL3000.A.H_000316800.1	hypothetical protein, conserved	0.5	3.5
TcIL3000.A.H_000877900.1	hypothetical protein, conserved	0.5	3.5
TcIL3000.A.H_000978800.1	hypothetical protein	0.5	3.5
TcIL3000.A.H_000173300.1	amino acid transporter 8, putative	0.5	3.25
TcIL3000.A.H_000075600.1	Trypanosomal VSG domain containing protein, putative	0.5	3
TcIL3000.A.H_000261400.1	Trypanosomal VSG domain containing protein, putative	0.5	3
TcIL3000.A.H_000317900.1	cytochrome oxidase subunit VII	0.5	3
TcIL3000.A.H_000471400.1	hypothetical protein, conserved	0.5	3
TcIL3000.A.H_000600900.1	hypothetical protein, conserved	0.5	3
TcIL3000.A.H_000935200.1	AN1-like Zinc finger containing protein, putative	0.5	3
TcIL3000.A.H_001030700.1	hypothetical protein, conserved	0.5	3
TcIL3000.A.H_000049000.1	retrotransposon hot spot (RHS) protein, putative	0.5	2.5
